,URL,Total Pull Requests,Age,Additions,Deletions,Body,Reviews,Files,Participants,Comments
75,https://github.com/zero-to-mastery/Canvas-Creations,249,5838,42,0,0,0,5,2,3
76,https://github.com/peaceiris/mkdocs-material-boilerplate,272,22342,14,14,7943,0,3,1,1
77,https://github.com/todogroup/ospolandscape,105,24854,5,0,1256,0,1,2,0
78,https://github.com/zero-to-mastery/Canvaz,275,83006,37,2,43,0,5,2,1
79,https://github.com/cdfoundation/cdf-landscape,168,5045,18,0,1257,1,2,2,3
80,https://github.com/go-gitea/gitea,10358,39914,138,34,556,24,5,9,10
81,https://github.com/questdb/questdb.io,712,13346,13,1,16,1,4,2,0
82,https://github.com/zero-to-mastery/Canvas-Creations,249,5838,42,0,0,0,5,2,3
83,https://github.com/peaceiris/mkdocs-material-boilerplate,272,22342,14,14,7943,0,3,1,1
84,https://github.com/todogroup/ospolandscape,105,24854,5,0,1256,0,1,2,0
85,https://github.com/zero-to-mastery/Canvaz,275,83006,37,2,43,0,5,2,1
86,https://github.com/cdfoundation/cdf-landscape,168,5045,18,0,1257,1,2,2,3
87,https://github.com/go-gitea/gitea,10358,39914,138,34,556,24,5,9,10
88,https://github.com/questdb/questdb.io,712,13346,13,1,16,1,4,2,0
89,https://github.com/zero-to-mastery/Canvas-Creations,249,5838,42,0,0,0,5,2,3
90,https://github.com/peaceiris/mkdocs-material-boilerplate,272,22342,14,14,7943,0,3,1,1
91,https://github.com/todogroup/ospolandscape,105,24854,5,0,1256,0,1,2,0
92,https://github.com/zero-to-mastery/Canvaz,275,83006,37,2,43,0,5,2,1
93,https://github.com/cdfoundation/cdf-landscape,168,5045,18,0,1257,1,2,2,3
94,https://github.com/go-gitea/gitea,10358,39914,138,34,556,24,5,9,10
95,https://github.com/questdb/questdb.io,712,13346,13,1,16,1,4,2,0
96,https://github.com/zero-to-mastery/Canvas-Creations,249,5838,42,0,0,0,5,2,3
97,https://github.com/peaceiris/mkdocs-material-boilerplate,272,22342,14,14,7943,0,3,1,1
98,https://github.com/todogroup/ospolandscape,105,24854,5,0,1256,0,1,2,0
99,https://github.com/zero-to-mastery/Canvaz,275,83006,37,2,43,0,5,2,1
